[49, 1.028, -4.726, 1.145]
[50, 1.028, -4.726, 1.145]
[50, 1.027, -4.726, 1.145]
[50, 1.027, -4.721, 1.145]
[50, 1.027, -4.721, 1.154]
[51, 1.027, -4.721, 1.154]
[51, 1.092, -4.721, 1.154]
[51, 1.092, -4.760, 1.154]
[51, 1.092, -4.760, 1.203]
[52, 1.092, -4.760, 1.203]
[52, 1.069, -4.760, 1.203]
[52, 1.069, -4.705, 1.203]
[52, 1.069, -4.705, 1.426]
[53, 1.069, -4.705, 1.426]
[53, 1.073, -4.705, 1.426]
[53, 1.073, -4.689, 1.426]
[53, 1.073, -4.689, 1.449]
[54, 1.073, -4.689, 1.449]
[54, 1.084, -4.689, 1.449]
[54, 1.084, -4.745, 1.449]
[54, 1.084, -4.745, 1.290]
[55, 1.084, -4.745, 1.290]
[55, 1.078, -4.745, 1.290]
[55, 1.078, -4.801, 1.290]
[55, 1.078, -4.801, 1.048]
[56, 1.078, -4.801, 1.048]
[56, 1.085, -4.801, 1.048]
[56, 1.085, -4.777, 1.048]
[56, 1.085, -4.777, 1.165]
[57, 1.085, -4.777, 1.165]
[57, 1.086, -4.777, 1.165]
[57, 1.086, -4.655, 1.165]
[57, 1.086, -4.655, 1.540]
[58, 1.086, -4.655, 1.540]
[58, 1.087, -4.655, 1.540]
[58, 1.087, -4.808, 1.540]
[58, 1.087, -4.808, 0.961]
[59, 1.087, -4.808, 0.961]
[59, 1.095, -4.808, 0.961]
[59, 1.095, -4.736, 0.961]
[59, 1.095, -4.736, 1.286]
[60, 1.095, -4.736, 1.286]
[60, 1.093, -4.736, 1.286]
[60, 1.093, -4.803, 1.286]
[60, 1.093, -4.803, 0.988]
[61, 1.093, -4.803, 0.988]
[61, 1.100, -4.803, 0.988]
[61, 1.100, -4.798, 0.988]
[61, 1.100, -4.798, 0.982]
[62, 1.100, -4.798, 0.982]
[62, 1.116, -4.798, 0.982]
[62, 1.116, -4.814, 0.982]
[62, 1.116, -4.814, 0.956]
[63, 1.116, -4.814, 0.956]
[63, 1.116, -4.709, 0.956]
[63, 1.116, -4.709, 1.378]
[64, 1.116, -4.709, 1.378]
[64, 1.120, -4.709, 1.378]
[64, 1.120, -4.707, 1.378]
[64, 1.120, -4.707, 1.380]
[65, 1.120, -4.707, 1.380]
[65, 1.117, -4.707, 1.380]
[65, 1.117, -4.838, 1.380]
[65, 1.117, -4.838, 0.739]
[66, 1.117, -4.838, 0.739]
[66, 1.122, -4.838, 0.739]
[66, 1.122, -4.767, 0.739]
[66, 1.122, -4.767, 1.145]
[67, 1.122, -4.767, 1.145]
[67, 1.113, -4.767, 1.145]
[67, 1.113, -4.775, 1.145]
[67, 1.113, -4.775, 1.033]
[68, 1.113, -4.775, 1.033]
[68, 1.113, -4.776, 1.033]
[68, 1.113, -4.776, 1.054]
[69, 1.113, -4.776, 1.054]
[69, 1.125, -4.776, 1.054]
[69, 1.125, -4.754, 1.054]
[69, 1.125, -4.754, 1.098]
[70, 1.125, -4.754, 1.098]
[70, 1.133, -4.754, 1.098]
[70, 1.133, -4.767, 1.098]
[70, 1.133, -4.767, 1.101]
[71, 1.133, -4.767, 1.101]
[71, 1.135, -4.767, 1.101]
[71, 1.135, -4.504, 1.101]
[71, 1.135, -4.504, 1.878]
[72, 1.135, -4.504, 1.878]
[72, 1.125, -4.504, 1.878]
[72, 1.125, -4.468, 1.878]
[72, 1.125, -4.468, 1.966]
[73, 1.125, -4.468, 1.966]
[73, 1.130, -4.468, 1.966]
[73, 1.130, -4.745, 1.966]
[73, 1.130, -4.745, 1.156]
[74, 1.130, -4.745, 1.156]
[74, 1.129, -4.745, 1.156]
[74, 1.129, -4.743, 1.156]
[74, 1.129, -4.743, 1.179]
[75, 1.129, -4.743, 1.179]
[75, 1.124, -4.743, 1.179]
[75, 1.124, -4.780, 1.179]
[75, 1.124, -4.780, 0.989]
[76, 1.124, -4.780, 0.989]
[76, 1.212, -4.780, 0.989]
[76, 1.212, -4.787, 0.989]
[76, 1.212, -4.787, 1.667]
[81, 1.212, -4.787, 1.667]
[81, 1.236, -4.787, 1.667]
[81, 1.236, -4.690, 1.667]
[81, 1.236, -4.690, 1.059]
[82, 1.236, -4.690, 1.059]
[82, 1.339, -4.690, 1.059]
[82, 1.339, -4.648, 1.059]
[82, 1.339, -4.648, 0.992]
[83, 1.339, -4.648, 0.992]
[83, 1.430, -4.648, 0.992]
[83, 1.430, -4.518, 0.992]
[83, 1.430, -4.518, 1.389]
[84, 1.430, -4.518, 1.389]
[84, 1.571, -4.518, 1.389]
[84, 1.571, -4.459, 1.389]
[84, 1.571, -4.459, 1.451]
[85, 1.571, -4.459, 1.451]
[85, 1.595, -4.459, 1.451]
[85, 1.595, -4.598, 1.451]
[85, 1.595, -4.598, 0.837]
[86, 1.595, -4.598, 0.837]
[86, 1.670, -4.598, 0.837]
[86, 1.670, -4.546, 0.837]
[86, 1.670, -4.546, 0.939]
[87, 1.670, -4.546, 0.939]
[87, 1.755, -4.546, 0.939]
[87, 1.755, -4.473, 0.939]
[87, 1.755, -4.473, 1.056]
[88, 1.755, -4.473, 1.056]
[88, 1.851, -4.473, 1.056]
[88, 1.851, -4.473, 0.931]
[89, 1.851, -4.473, 0.931]
[89, 1.944, -4.473, 0.931]
[89, 1.944, -4.385, 0.931]
[89, 1.944, -4.385, 1.189]
[90, 1.944, -4.385, 1.189]
[90, 2.143, -4.385, 1.189]
[90, 2.143, -4.324, 1.189]
[90, 2.143, -4.324, 1.146]
[91, 2.143, -4.324, 1.146]
[91, 2.334, -4.324, 1.146]
[91, 2.334, -4.080, 1.146]
[91, 2.334, -4.080, 1.660]
[92, 2.334, -4.080, 1.660]
[92, 2.419, -4.080, 1.660]
[92, 2.419, -4.234, 1.660]
[92, 2.419, -4.234, 1.080]
[93, 2.419, -4.234, 1.080]
[93, 2.551, -4.234, 1.080]
[93, 2.551, -4.160, 1.080]
[93, 2.551, -4.160, 1.342]
[94, 2.551, -4.160, 1.342]
[94, 2.630, -4.160, 1.342]
[94, 2.630, -4.203, 1.342]
[94, 2.630, -4.203, 0.931]
[95, 2.630, -4.203, 0.931]
[95, 2.725, -4.203, 0.931]
[95, 2.725, -3.889, 0.931]
[95, 2.725, -3.889, 1.606]
[96, 2.725, -3.889, 1.606]
[96, 2.851, -3.889, 1.606]
[96, 2.851, -4.021, 1.606]
[96, 2.851, -4.021, 1.209]
[97, 2.851, -4.021, 1.209]
[97, 2.953, -4.021, 1.209]
[97, 2.953, -3.979, 1.209]
[97, 2.953, -3.979, 1.221]
[98, 2.953, -3.979, 1.221]
[98, 3.061, -3.979, 1.221]
[98, 3.061, -3.930, 1.221]
[98, 3.061, -3.930, 1.213]
[99, 3.061, -3.930, 1.213]
[99, 3.158, -3.930, 1.213]
[99, 3.158, -3.932, 1.213]
[99, 3.158, -3.932, 1.230]
[100, 3.158, -3.932, 1.230]
